polarity	pos	neg	neu	compound	text	username
positivo	1.0	0.0	0.0	0.0	Ecuador a los migrantes legales les brinda educación y Salud de primer nivel. Tenemos amigos , vecinos, compañeros de trabajo , empleados Venezolanos y son excelentes personas. Lo que si discrepo con la personas	EL OIDOR DE LA GARAY
positivo	1.0	0.0	1.0	0.0	En vista que Ecuador y Perú ya hanrecibido muchos migrantes venezolanos, y de que EEUU goza de una excelente economía y estaba empeñoso en intervenir por solucionar los problemas de Venezuela se pide que también... https://www.facebook.com/100000179017182/posts/2273336746015604/ …	Lida Isabel
positivo	1.0	0.0	1.0	0.0	"""Después de 4 años en Ecuador hay venezolanos en Ecuador que me molestan porque """"hablo ecuatoriano"""", soy docente, como coño quieren que me dirija a mis alumnos? Me valen verga jajaajaja. Disfruta la adaptación, es una excelente etapa en la Migración. https://twitter.com/Juandeando/status/1153311337214304256 …"""	Lennys Berutti
positivo	1.0	0.0	0.0	0.0	Ojo que no generalizó, por qué tengo amig@s peruanos y son excelentes. La realidad es que esta situación nos afecta a todos los venezolanos incluso estando fuera del conflicto Perú, brasil, ecuador	Añez !
positivo	1.0	0.0	1.0	0.0	Migración forzada de venezolanos pone en vilo a países receptores y a la ONU https://www.cambio16.com/migracion-forzada-de-venezolanos-pone-en-vilo-a-paises-receptores-y-la-onu/ … Excelente trabajo periodístico. En alerta extrema países como Colombia y Ecuador. Prácticamente 5000 venezolanos  cruzan diariamente la frontera con Colombia pic.twitter.com/HwrE4B5k41	Dra. María Yanes H.
neutro	0.0	0.0	1.0	0.0	#Ecuador inicia censo a migrantes venezolanos https://buff.ly/2nWj2x7	Te Lo Cuento News
neutro	0.0	0.0	1.0	0.0	"""RC Noticias | Ecuador se prepara para recibir medio millón de migrantes venezolanos en este 2019"	CRC Movimiento Revolución España
neutro	0.0	0.0	1.0	0.0	Ecuador dejará pasar por su territorio a migrantes venezolanos con visa de ingreso a otro país http://j.mp/308zHuz	La Patilla
neutro	0.0	0.0	1.0	0.0	#Migración El gobierno de Ecuador inicia este jueves un proceso de registro o censo de venezolanos que están en el país, un paso previo para acceder a la visa humanitaria exigida por la nación a los migrantes del país sudamericano https://www.frontera7dias.com.ve/2019/09/26/ecuador-inicia-censo-a-migrantes-venezolanos/ …	Frontera 7 Días
neutro	0.0	0.0	1.0	0.0	Los venezolanos estamos atrapados x una guarida de hampones y asesinos donde predimina la ley de la mafia, ecuador nos habia dado la espalda	rosanna
