polarity	pos	neg	neu	compound	text	username
neutro	0.0	0.0	1.0	0.0	Cancillería de Ecuador declara emergencia para atender migración venezolana http://bit.ly/2vBbL6T pic.twitter.com/bDzw2Zx04t	2001online
neutro	0.0	0.0	1.0	0.0	"""Países como Colombia, Perú y Ecuador son los más afectados por la migración venezolana"	KonZapata.com
neutro	0.0	0.0	1.0	0.0	#migrantes #ecuador Estados Unidos: Colombianos, venezolanos y peruanos duplican población en Florida http://dlvr.it/gr2Sh	José Luis Sánchez
neutro	0.0	0.0	1.0	0.0	La UE destina 10 millones de euros para ayuda a migrantes venezolanos en Colombia, Ecuador y Perú https://infocifrasonline.com/2019/09/13/la-ue-destina-10-millones-de-euros-para-ayuda-a-migrantes-venezolanos-en-colombia-ecuador-y-peru/ …pic.twitter.com/SluJ95NYAj	@Infocifras
neutro	0.0	0.0	1.0	0.0	#SepaQue Migración Colombia hizo un recorrido por sectores del puente internacional de Rumichaca, evidenciando que la medida impuesta por Ecuador ocasiona que un alto número de venezolanos se lance a las trochas, poniendo en peligro sus vidas. http://bit.ly/2ZK9cvm	Efecto Cocuyo
neutro	0.0	0.0	1.0	0.0	Colombia, Brasil, Ecuador y Chile, han cerrado sus fronteras, han endurecido las reglas de migración, el Perú es el único país que tiene las fronteras abiertas de par en par, se viene una avalancha de Venezolanos, de aquí al 2021 serán  el triple delos que una están aquí.	Cesar Bravo
neutro	0.0	0.0	1.0	0.0	¡PASO DE MIGRANTES! Ecuador evalúa abrir corredor humanitario para venezolanos https://is.gd/iyPcjr pic.twitter.com/a3tH6yAs6X	Noticia Al Minuto
neutro	0.0	0.0	1.0	0.0	MIGRACIÓN: oleada migratoria a Ecuador y Perú http://goo.gl/n9792E  (+video) En el parque La Carolina de Quito, venezolanos venden arepas.	Reportero24
neutro	0.0	0.0	1.0	0.0	Incremento de migración de venezolanos en Ecuador podría colapsar su economía http://goo.gl/AP2BgP pic.twitter.com/Zrm4Ov5a59	El Político
negativo	0.0	0.121	0.879	-0.296	"""Está maldita migración de """"los pobres """" venezolanos , no es más que una operación caballo de troya"	Luis Guevara
neutro	0.0	0.0	1.0	0.0	Inició el proceso de visa humanitaria para migrantes venezolanos en Ecuador - https://elportal24.com/2019/10/inicio-el-proceso-de-visa-humanitaria-para-migrantes-venezolanos-en-ecuador/ …pic.twitter.com/b6iDhd2oJr	ElPortal24
